  EVENT_ID Name                                                         WAIT_CLASS_ID WAIT_CLASS
1454243430 LNS wait on ATTACH                                              2000153315 Network
1468748253 LNS wait on SENDREQ                                             2000153315 Network
4185804011 LNS wait on DETACH                                              2000153315 Network
4087609783 LGWR wait on SENDREQ                                            2000153315 Network
1716592628 LGWR wait on DETACH                                             2000153315 Network
1920783312 ARCH wait on SENDREQ                                            2000153315 Network
4196590754 ARCH wait on DETACH                                             2000153315 Network
 406979416 ARCH wait for netserver init 2                                  2000153315 Network
1304409668 LNS wait on LGWR                                                2000153315 Network
2949988816 LGWR wait on LNS                                                2000153315 Network
3411133732 ARCH wait for flow-control                                      2000153315 Network
2731366464 ARCH wait for netserver detach                                  2000153315 Network
2836458162 LNS ASYNC archive log                                           2723168908 Idle
3599169768 LNS ASYNC dest activation                                       2723168908 Idle
3378470826 LNS ASYNC end of log                                            2723168908 Idle
 549236675 log file sequential read                                        4108307767 System I/O
 215477332 log file single write                                           4108307767 System I/O
3999721902 log file parallel write                                         4108307767 System I/O
2539661515 latch: redo writing                                             3290255840 Configuration
2107275157 latch: redo copy                                                3290255840 Configuration
3357856061 log buffer space                                                3290255840 Configuration
2867289651 log file switch (checkpoint incomplete)                         3290255840 Configuration
 114164561 log file switch (private strand flush incomplete)               3290255840 Configuration
 681532028 log file switch (archiving needed)                              3290255840 Configuration
3845123846 switch logfile command                                          4166625743 Administrative
3834950329 log file switch completion                                      3290255840 Configuration
1328744198 log file sync                                                   3386400367 Commit
2915106572 simulated log write delay                                       2723168908 Idle
1278638045 LGWR real time apply sync                                       2723168908 Idle
2652584166 db file sequential read                                         1740759767 User I/O
 506183215 db file scattered read                                          1740759767 User I/O
1307477558 db file single write                                            1740759767 User I/O
1620694733 db file parallel write                                          4108307767 System I/O
 133155944 db file async I/O submit                                        4108307767 System I/O
 834992820 db file parallel read                                           1740759767 User I/O
1567037747 enq: MV - datafile move                                         4166625743 Administrative
3905407295 gc current request                                              3871361733 Cluster
 512320954 gc cr request                                                   3871361733 Cluster
1136317622 gc cr disk request                                              3871361733 Cluster
 661121159 gc cr multi block request                                       3871361733 Cluster
3897775868 gc current multi block request                                  3871361733 Cluster
1627043053 gc block recovery request                                       3871361733 Cluster
 737661873 gc cr block 2-way                                               3871361733 Cluster
3046984244 gc cr block 3-way                                               3871361733 Cluster
1520064534 gc cr block busy                                                3871361733 Cluster
2705335821 gc cr block congested                                           3871361733 Cluster
2375802695 gc cr failure                                                   3871361733 Cluster
3151901526 gc cr block lost                                                3871361733 Cluster
1807020890 gc cr block unknown                                             3871361733 Cluster
 111015833 gc current block 2-way                                          3871361733 Cluster
3570184881 gc current block 3-way                                          3871361733 Cluster
2701629120 gc current block busy                                           3871361733 Cluster
3785617759 gc current block congested                                      3871361733 Cluster
1742950045 gc current retry                                                3871361733 Cluster
 957917679 gc current block lost                                           3871361733 Cluster
1457266432 gc current split                                                3871361733 Cluster
1077045392 gc current block unknown                                        3871361733 Cluster
3201690383 gc cr grant 2-way                                               3871361733 Cluster
3261528052 gc cr grant busy                                                3871361733 Cluster
3794703642 gc cr grant congested                                           3871361733 Cluster
1743760568 gc cr grant unknown                                             3871361733 Cluster
1445598276 gc cr disk read                                                 3871361733 Cluster
2685450749 gc current grant 2-way                                          3871361733 Cluster
2277737081 gc current grant busy                                           3871361733 Cluster
 667696377 gc current grant congested                                      3871361733 Cluster
2869825733 gc current grant unknown                                        3871361733 Cluster
 297486966 gc freelist                                                     3871361733 Cluster
  75296820 gc remaster                                                     3871361733 Cluster
 758475196 gc quiesce                                                      3871361733 Cluster
4178810429 gc object scan                                                  3871361733 Cluster
3612069565 gc recovery                                                     3871361733 Cluster
3726007083 gc flushed buffer                                               3871361733 Cluster
3415121734 gc current cancel                                               3871361733 Cluster
3289120169 gc cr cancel                                                    3871361733 Cluster
2369255784 gc assume                                                       3871361733 Cluster
3571931909 gc domain validation                                            3871361733 Cluster
2961011386 gc recovery free                                                3871361733 Cluster
3106959643 gc recovery quiesce                                             3871361733 Cluster
 830518988 gc claim                                                        3871361733 Cluster
3723089570 gc cancel retry                                                 3871361733 Cluster
3926164927 direct path read                                                1740759767 User I/O
 861319509 direct path read temp                                           1740759767 User I/O
 885859547 direct path write                                               1740759767 User I/O
  38438084 direct path write temp                                          1740759767 User I/O
2328740855 parallel recovery slave idle wait                               2723168908 Idle
1221077576 LogMiner builder: idle                                          2723168908 Idle
2130278899 LogMiner builder: memory                                         644977587 Queueing
3993953808 LogMiner builder: DDL                                            644977587 Queueing
3650510895 LogMiner builder: branch                                        2723168908 Idle
  37490450 LogMiner preparer: idle                                         2723168908 Idle
4176490272 LogMiner preparer: memory                                        644977587 Queueing
2969107883 LogMiner reader: buffer                                          644977587 Queueing
3314391977 LogMiner reader: log (idle)                                     2723168908 Idle
1534896503 LogMiner reader: redo (idle)                                    2723168908 Idle
2858596797 LogMiner client: transaction                                    2723168908 Idle
3893525907 LogMiner: other                                                 2723168908 Idle
3685504676 LogMiner: activate                                              2723168908 Idle
3979031729 LogMiner: reset                                                 2723168908 Idle
2694966712 LogMiner: find session                                          2723168908 Idle
2989610564 LogMiner: internal                                              2723168908 Idle
 226544737 Logical Standby Apply Delay                                     2723168908 Idle
3525876136 wait for possible quiesce finish                                4166625743 Administrative
2842195073 parallel recovery coordinator waits for slave cleanup           2723168908 Idle
3487232407 flashback log file write                                        4108307767 System I/O
2769438501 flashback log file read                                         4108307767 System I/O
1760381182 flashback buf free by RVWR                                      3290255840 Configuration
 157547587 flashback log file sync                                         1740759767 User I/O
 722766223 parallel recovery control message reply                         2723168908 Idle
2314562763 cell smart table scan                                           1740759767 User I/O
 601047792 cell smart index scan                                           1740759767 User I/O
 447002770 cell statistics gather                                          1740759767 User I/O
2705202413 cell smart incremental backup                                   4108307767 System I/O
2569366771 cell smart file creation                                        1740759767 User I/O
3260626027 cell smart restore from backup                                  4108307767 System I/O
 572448743 parallel recovery slave next change                             2723168908 Idle
4031319789 concurrent I/O completion                                       4166625743 Administrative
1845020027 datafile copy range completion                                  4166625743 Administrative
 668627480 enq: TM - contention                                            4217450380 Application
1649608974 enq: ST - contention                                            3290255840 Configuration
1781586680 undo segment extension                                          3290255840 Configuration
2539132690 undo segment tx slot                                            3290255840 Configuration
1107691084 switch undo - offline                                           4166625743 Administrative
1005272400 alter rbs offline                                               4166625743 Administrative
 310662678 enq: TX - row lock contention                                   4217450380 Application
 281768874 enq: TX - allocate ITL entry                                    3290255840 Configuration
1035026728 enq: TX - index contention                                      3875070507 Concurrency
1435178951 enq: TW - contention                                            4166625743 Administrative
1817260038 PX Deq: Txn Recovery Start                                      2723168908 Idle
1029371363 PX Deq: Txn Recovery Reply                                      2723168908 Idle
1574097577 latch: Undo Hint Latch                                          3875070507 Concurrency
 680822103 statement suspended, wait error to be cleared                   3290255840 Configuration
1394127552 latch: In memory undo latch                                     3875070507 Concurrency
1286443595 latch: MQL Tracking Latch                                       3875070507 Concurrency
2729944181 fbar timer                                                      2723168908 Idle
1832903562 Archive Manager file transfer I/O                               1740759767 User I/O
1606606310 securefile chain update                                         3875070507 Concurrency
1645217925 enq: HW - contention                                            3290255840 Configuration
3890744969 enq: SS - contention                                            3290255840 Configuration
2672479943 sort segment request                                            3290255840 Configuration
1403232821 smon timer                                                      2723168908 Idle
3431783400 PX Deq: Metadata Update                                         2723168908 Idle
2942611488 Space Manager: slave idle wait                                  2723168908 Idle
2322460838 enq: SQ - contention                                            3290255840 Configuration
2288901790 PX Deq: Index Merge Reply                                       2723168908 Idle
2881101577 PX Deq: Index Merge Execute                                     2723168908 Idle
 259094851 PX Deq: Index Merge Close                                       2723168908 Idle
2908893972 enq: HV - contention                                            3875070507 Concurrency
1775596922 PX Deq: kdcph_mai                                               2723168908 Idle
3388026088 PX Deq: kdcphc_ack                                              2723168908 Idle
3311157317 index (re)build online start                                    4166625743 Administrative
3507172204 index (re)build online cleanup                                  4166625743 Administrative
 459595925 index (re)build online merge                                    4166625743 Administrative
3999678875 securefile direct-read completion                               1740759767 User I/O
3535858375 securefile direct-write completion                              1740759767 User I/O
  39333034 SecureFile mutex                                                3875070507 Concurrency
 122034066 enq: WG - lock fso                                              3875070507 Concurrency
1117386924 latch: row cache objects                                        3875070507 Concurrency
1714089451 row cache lock                                                  3875070507 Concurrency
3733770256 row cache read                                                  3875070507 Concurrency
 670556006 libcache interrupt action by LCK                                3875070507 Concurrency
 877525844 cursor: mutex X                                                 3875070507 Concurrency
1575214430 cursor: mutex S                                                 3875070507 Concurrency
3085815766 cursor: pin X                                                   3875070507 Concurrency
 352301881 cursor: pin S                                                   3875070507 Concurrency
1729366244 cursor: pin S wait on X                                         3875070507 Concurrency
 850477422 Global transaction acquire instance locks                       3290255840 Configuration
3304404527 enq: BB - 2PC across RAC instances                              3386400367 Commit
2696347763 latch: shared pool                                              3875070507 Concurrency
2802704141 library cache pin                                               3875070507 Concurrency
 916468430 library cache lock                                              3875070507 Concurrency
2952162927 library cache load lock                                         3875070507 Concurrency
1646780882 library cache: mutex X                                          3875070507 Concurrency
2446268751 library cache: mutex S                                          3875070507 Concurrency
1241467722 BFILE read                                                      1740759767 User I/O
1452455426 resmgr:cpu quantum                                              2396326234 Scheduler
3911289767 resmgr:large I/O queued                                         2396326234 Scheduler
2657070939 resmgr:small I/O queued                                         2396326234 Scheduler
4043670897 resmgr:internal state change                                    3875070507 Concurrency
3942551365 resmgr:sessions to exit                                         3875070507 Concurrency
1861259087 resmgr:become active                                            2396326234 Scheduler
1724186970 resmgr:pq queued                                                2396326234 Scheduler
3680756349 TCP Socket (KGAS)                                               2000153315 Network
2804400934 utl_file I/O                                                    1740759767 User I/O
4219255068 alter system set dispatcher                                     4166625743 Administrative
2900469894 virtual circuit wait                                            2000153315 Network
1091942974 virtual circuit next request                                    2723168908 Idle
1786390478 shared server idle wait                                         2723168908 Idle
4090013609 dispatcher timer                                                2723168908 Idle
4195517431 dispatcher listen timer                                         2000153315 Network
 660387499 dedicated server timer                                          2000153315 Network
 963656759 cmon timer                                                      2723168908 Idle
3775760766 pool server timer                                               2723168908 Idle
1524501944 connection pool wait                                            4166625743 Administrative
2173075130 JOX Jit Process Sleep                                           2723168908 Idle
 782339817 jobq slave wait                                                 2723168908 Idle
 775793103 Wait for Table Lock                                             4217450380 Application
 160773985 pipe get                                                        2723168908 Idle
3479211658 pipe put                                                        3875070507 Concurrency
3835660459 enq: DB - contention                                            4166625743 Administrative
 961027629 PX Deque wait                                                   2723168908 Idle
3382828453 PX Idle Wait                                                    2723168908 Idle
4205438796 PX Deq: Join ACK                                                2723168908 Idle
2267953574 PX Deq Credit: need buffer                                      2723168908 Idle
2610814049 PX Deq Credit: send blkd                                        2723168908 Idle
  77145095 PX Deq: Msg Fragment                                            2723168908 Idle
4255662421 PX Deq: Parse Reply                                             2723168908 Idle
2599037852 PX Deq: Execute Reply                                           2723168908 Idle
  98582416 PX Deq: Execution Msg                                           2723168908 Idle
 799271425 PX Deq: Table Q Normal                                          2723168908 Idle
1062854067 PX Deq: Table Q Sample                                          2723168908 Idle
1850448852 external table read                                             1740759767 User I/O
2573156426 external table write                                            1740759767 User I/O
 332943844 external table open                                             1740759767 User I/O
2580575859 external table seek                                             1740759767 User I/O
4284613698 external table misc IO                                          1740759767 User I/O
2649722911 enq: RC - Result Cache: Contention                              4217450380 Application
1636695715 enq: JX - SQL statement queue                                   2396326234 Scheduler
3822543692 enq: JX - cleanup of  queue                                     2396326234 Scheduler
3419368467 PX Queuing: statement queue                                     2396326234 Scheduler
 892389094 dbverify reads                                                  1740759767 User I/O
1540717915 Streams fetch slave: waiting for txns                           2723168908 Idle
 152397594 Streams capture: waiting for subscribers to catch up             644977587 Queueing
 944567059 Streams: resolve low memory condition                            644977587 Queueing
3604493572 Streams apply: waiting to commit                                3290255840 Configuration
2989166604 Streams apply: waiting for dependency                           3875070507 Concurrency
3418571353 Streams: flow control                                            644977587 Queueing
2993006073 Streams: waiting for messages                                   2723168908 Idle
 881521144 Streams capture: waiting for archive log                        2723168908 Idle
2579796865 Streams capture: filter callback waiting for ruleset            4217450380 Application
2746555311 Streams: apply reader waiting for DDL to apply                  4217450380 Application
 845337552 enq: ZG - contention                                            4166625743 Administrative
2254800293 single-task message                                             2723168908 Idle
2067390145 SQL*Net message to client                                       2000153315 Network
3655533736 SQL*Net message to dblink                                       2000153315 Network
 554161347 SQL*Net more data to client                                     2000153315 Network
1958556342 SQL*Net more data to dblink                                     2000153315 Network
1421975091 SQL*Net message from client                                     2723168908 Idle
3530226808 SQL*Net more data from client                                   2000153315 Network
4093028837 SQL*Net message from dblink                                     2000153315 Network
1136294303 SQL*Net more data from dblink                                   2000153315 Network
 483818214 SQL*Net vector message from client                              2723168908 Idle
 599122182 SQL*Net vector message from dblink                              2723168908 Idle
3957226286 SQL*Net vector data to client                                   2000153315 Network
 524447658 SQL*Net vector data from client                                 2000153315 Network
 380483207 SQL*Net vector data to dblink                                   2000153315 Network
1970154257 SQL*Net vector data from dblink                                 2000153315 Network
1963888671 SQL*Net break/reset to client                                   4217450380 Application
 634664853 SQL*Net break/reset to dblink                                   4217450380 Application
3879957351 External Procedure initial connection                           4217450380 Application
1909653202 External Procedure call                                         4217450380 Application
 818280116 PL/SQL lock timer                                               2723168908 Idle
 738183602 enq: UL - contention                                            4217450380 Application
1564641971 wait for EMON to process ntfns                                  3290255840 Configuration
1053768773 Streams AQ: emn coordinator idle wait                           2723168908 Idle
1034167112 EMON slave idle wait                                            2723168908 Idle
3955192389 Streams AQ: waiting for messages in the queue                   2723168908 Idle
3702640206 Streams AQ: waiting for time management or cleanup tasks        2723168908 Idle
2461999423 Streams AQ: enqueue blocked on low memory                        644977587 Queueing
 764740284 Streams AQ: enqueue blocked due to flow control                  644977587 Queueing
1755736138 Streams AQ: delete acknowledged messages                        2723168908 Idle
1133197228 Streams AQ: deallocate messages from Streams Pool               2723168908 Idle
 989870553 Streams AQ: qmn coordinator idle wait                           2723168908 Idle
1830121438 Streams AQ: qmn slave idle wait                                 2723168908 Idle
1762851110 Streams AQ: RAC qmn coordinator idle wait                       2723168908 Idle
 255548015 HS message to agent                                             2723168908 Idle
2904668353 TEXT: URL_DATASTORE network wait                                2000153315 Network
1267930770 TEXT: File System I/O                                           1740759767 User I/O
 867069076 OLAP DML Sleep                                                  4217450380 Application
1049283008 ASM COD rollback operation completion                           4166625743 Administrative
1568594048 kfk: async disk IO                                              4108307767 System I/O
2042354203 ASM background timer                                            2723168908 Idle
3800093324 ASM Fixed Package I/O                                           1740759767 User I/O
1299431751 ASM mount : wait for heartbeat                                  4166625743 Administrative
2619540468 ASM PST query : wait for [PM][grp][0] grant                     3871361733 Cluster
3491398912 lock remastering                                                3871361733 Cluster
   3166130 ASM Staleness File I/O                                          1740759767 User I/O
3066824253 auto-sqltune: wait graph update                                 2723168908 Idle
 277762365 WCR: replay client notify                                       2723168908 Idle
1481930431 WCR: replay clock                                               2723168908 Idle
3833657348 WCR: replay lock order                                          4217450380 Application
4280671222 WCR: replay paused                                              2723168908 Idle
1955925289 JS kgl get object wait                                          4166625743 Administrative
1045742593 JS external job                                                 2723168908 Idle
1371173112 JS kill job wait                                                4166625743 Administrative
2190647165 JS coord start wait                                             4166625743 Administrative
2614864156 cell single block physical read                                 1740759767 User I/O
 443865681 cell multiblock physical read                                   1740759767 User I/O
3975960017 cell list of blocks physical read                               1740759767 User I/O
1946591843 cell manager opening cell                                       4108307767 System I/O
1617821548 cell manager closing cell                                       4108307767 System I/O
4026210594 cell manager discovering disks                                  4108307767 System I/O
1693614820 cell worker idle                                                2723168908 Idle
1736664284 events in waitclass Other                                       1893977003 Other
2390244800 enq: WM - WLM Plan activation                                   1893977003 Other
3474287957 latch free                                                      1893977003 Other
2680091115 kslwait unit test event 1                                       1893977003 Other
2424426032 kslwait unit test event 2                                       1893977003 Other
2025755259 kslwait unit test event 3                                       1893977003 Other
2971802445 unspecified wait event                                          1893977003 Other
2701202185 latch activity                                                  1893977003 Other
2613422884 wait list latch activity                                        1893977003 Other
2530878290 wait list latch free                                            1893977003 Other
3498297576 global enqueue expand wait                                      1893977003 Other
2917886901 free process state object                                       1893977003 Other
3757863830 inactive session                                                1893977003 Other
1812220754 process terminate                                               1893977003 Other
 139039345 latch: call allocation                                          1893977003 Other
2900750527 latch: session allocation                                       1893977003 Other
1945768837 check CPU wait times                                            1893977003 Other
1760863753 enq: CI - contention                                            1893977003 Other
3733307663 enq: PR - contention                                            1893977003 Other
3155844579 enq: AK -  contention                                           1893977003 Other
1210775251 enq: DI -  contention                                           1893977003 Other
3710671834 enq: RM -  contention                                           1893977003 Other
3226762304 enq: BO -  contention                                           1893977003 Other
2151749845 ksim generic wait event                                         1893977003 Other
2030748592 debugger command                                                1893977003 Other
1350997250 ksdxexeother                                                    1893977003 Other
 112941199 ksdxexeotherwait                                                1893977003 Other
4129138703 enq: PE - contention                                            1893977003 Other
 925144608 enq: PG - contention                                            1893977003 Other
3228065868 ksbsrv                                                          1893977003 Other
3024348788 ksbcic                                                          1893977003 Other
 875419734 process startup                                                 1893977003 Other
2726125541 process shutdown                                                1893977003 Other
1060877110 prior spawner clean up                                          1893977003 Other
1973577887 latch: messages                                                 1893977003 Other
2616562781 rdbms ipc message block                                         1893977003 Other
2587381521 rdbms ipc reply                                                 1893977003 Other
1847483002 latch: enqueue hash chains                                      1893977003 Other
3750685624 enq: FP - global fob contention                                 1893977003 Other
1272752883 enq: RE - block repair contention                               1893977003 Other
3396302007 enq: BM - clonedb bitmap file write                             1893977003 Other
2505166323 asynch descriptor resize                                        1893977003 Other
 880740118 imm op                                                          1893977003 Other
2914969843 slave exit                                                      1893977003 Other
1504129838 enq: KM - contention                                            1893977003 Other
1301289702 enq: KT - contention                                            1893977003 Other
2962754459 enq: CA - contention                                            1893977003 Other
2775294757 enq: KD - determine DBRM master                                 1893977003 Other
 906644781 reliable message                                                1893977003 Other
 973988003 broadcast mesg queue transition                                 1893977003 Other
1519436045 broadcast mesg recovery queue transition                        1893977003 Other
1628776795 master exit                                                     1893977003 Other
1361925913 ksv slave avail wait                                            1893977003 Other
3063016909 enq: PV - syncstart                                             1893977003 Other
2894614381 enq: PV - syncshut                                              1893977003 Other
 980653535 enq: SP - contention 1                                          1893977003 Other
 351221043 enq: SP - contention 2                                          1893977003 Other
 839059449 enq: SP - contention 3                                          1893977003 Other
1340803846 enq: SP - contention 4                                          1893977003 Other
3678823943 enq: SX - contention 5                                          1893977003 Other
2086036097 enq: SX - contention 6                                          1893977003 Other
2607158008 first spare wait event                                          1893977003 Other
 889843531 second spare wait event                                         1893977003 Other
2795431108 IPC send completion sync                                        1893977003 Other
 710749070 OSD IPC library                                                 1893977003 Other
3327525223 IPC wait for name service busy                                  1893977003 Other
1961805585 IPC busy async request                                          1893977003 Other
 429189883 IPC waiting for OSD resources                                   1893977003 Other
3586266983 ksxr poll remote instances                                      1893977003 Other
3974056937 ksxr wait for mount shared                                      1893977003 Other
2278252783 DBMS_LDAP: LDAP operation                                       1893977003 Other
  97018265 wait for FMON to come up                                        1893977003 Other
1830645796 enq: FM - contention                                            1893977003 Other
 107371275 enq: XY - contention                                            1893977003 Other
1823210480 set director factor wait                                        1893977003 Other
2767884586 latch: active service list                                      1893977003 Other
2558928434 enq: AS - service activation                                    1893977003 Other
 245034220 enq: PD - contention                                            1893977003 Other
2192866519 cleanup of aborted process                                      1893977003 Other
3530171172 enq: RU - contention                                            1893977003 Other
2020359573 enq: RU - waiting                                               1893977003 Other
2107633232 rolling migration: cluster quiesce                              1893977003 Other
2464601005 LMON global data update                                         1893977003 Other
2682948634 process diagnostic dump                                         1893977003 Other
1933295843 enq: MX - sync storage server info                              1893977003 Other
1992784715 master diskmon startup                                          1893977003 Other
2421679227 master diskmon read                                             1893977003 Other
1624113736 DSKM to complete cell health check                              1893977003 Other
 616694188 pmon dblkr tst event                                            1893977003 Other
1570927321 enq: ZX - repopulation file write                               1893977003 Other
 665933121 latch: ges resource hash list                                   1893977003 Other
3595075359 DFS lock handle                                                 1893977003 Other
 993175129 ges LMD to shutdown                                             1893977003 Other
3128645467 ges client process to exit                                      1893977003 Other
2627274657 ges global resource directory to be frozen                      1893977003 Other
1761249154 ges resource directory to be unfrozen                           1893977003 Other
2871858069 gcs resource directory to be unfrozen                           1893977003 Other
2542045584 ges LMD to inherit communication channels                       1893977003 Other
1612310333 ges lmd sync during reconfig                                    1893977003 Other
2796847522 ges wait for lmon to be ready                                   1893977003 Other
2656205476 ges cgs registration                                            1893977003 Other
1183226617 wait for master scn                                             1893977003 Other
1088316196 ges yield cpu in reconfig                                       1893977003 Other
 685206108 ges2 proc latch in rm latch get 1                               1893977003 Other
 154184229 ges2 proc latch in rm latch get 2                               1893977003 Other
 695825723 ges lmd/lmses to freeze in rcfg                                 1893977003 Other
1010381418 ges lmd/lmses to unfreeze in rcfg                               1893977003 Other
1631772444 ges lms sync during dynamic remastering and reconfig            1893977003 Other
 818898053 ges LMON to join CGS group                                      1893977003 Other
3008471467 ges pmon to exit                                                1893977003 Other
2595201782 ges lmd and pmon to attach                                      1893977003 Other
4224327511 gcs drm freeze begin                                            1893977003 Other
3116973328 gcs retry nowait latch get                                      1893977003 Other
2635889591 gcs remastering wait for read latch                             1893977003 Other
